Date,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comté,Haute-Normandie,Languedoc-Roussillon,Limousin,Lorraine,Midi-Pyrénées,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Côte-d'Azur,Ile-de-France,Rhône-Alpes
199245,443,498,645,232,811,1366,1724,329,0,229,1365,1151,116,327,1328,1571,1466,628,280,776,3656,4196
199246,861,3160,811,918,1236,2369,539,353,0,212,1564,477,102,242,644,2367,534,839,190,1462,3448,1483
199247,972,2116,691,844,392,2610,3620,288,0,332,791,1050,14,372,1106,2019,789,1113,506,2191,3071,1742
199248,1752,2645,611,2189,1139,2063,1717,363,0,275,1052,548,0,892,648,2056,560,1016,245,2742,5603,3176
199249,2071,2311,828,2190,1311,1813,1917,1055,0,430,1908,720,0,690,1245,2999,796,803,56,1683,6686,3988
199250,3685,1359,2374,5300,796,1871,2327,1428,0,1038,1198,1019,0,240,2249,1819,1144,1394,113,1214,7657,4251
199251,3025,972,459,6715,747,2810,2130,457,319,969,2402,2051,241,670,581,2444,717,1320,38,2610,7853,3816
199252,3312,1483,1027,81,1072,4187,3887,623,172,895,1363,1651,773,1261,985,3033,1936,1321,150,1976,10189,2867
199253,3249,1292,1302,1749,899,4204,4163,1578,19,1232,945,1487,303,2354,818,5424,1972,1369,314,2027,9476,2139
199301,4487,1507,1275,858,1357,4247,3924,2603,47,1938,2799,1913,474,2253,517,13176,3503,2706,732,2863,10975,5772
199302,5927,1996,1229,657,681,7842,4800,604,13,2019,909,2901,203,3490,1417,9490,5934,3318,2524,3408,13231,6527
199303,5370,4278,1854,1391,996,10678,10332,1042,0,4146,2798,2959,354,7586,3377,15198,17998,3294,3874,5704,17982,11197
199304,3930,7762,4249,2539,4428,13967,10883,2799,0,6718,2670,3864,3073,9081,4704,15518,16414,6347,5107,6866,21993,18393
199305,3594,16216,13028,1965,3842,16576,16083,5667,67,7746,2328,4947,3595,8803,7516,29925,10050,7007,6699,6744,32848,24755
199306,4351,17913,11149,1782,8044,17420,17096,6401,12,9549,2414,6837,1797,7773,3210,19297,11463,8627,7631,12229,39626,46118
199307,3128,12096,10483,2735,11774,21792,13607,5709,59,8637,6659,5654,2390,6609,8363,10263,10948,5588,4849,9974,27704,37989
199308,4119,9317,7401,3813,6978,23453,5784,3835,114,1894,4436,12449,1599,4549,11144,9591,10539,5273,4273,9747,20458,38833
199309,1672,12565,5967,2372,3773,22375,1338,1687,404,3312,2824,20655,1516,3539,19049,6211,5707,3544,1990,9618,22872,27268
199310,982,11604,2955,743,3203,13990,2125,1465,309,2898,1231,11251,354,2195,12606,3364,2859,2545,2664,6584,21433,14989
199311,990,7573,686,801,2153,4212,1309,2329,469,2105,2615,4951,25,965,7398,3728,863,1842,1032,7247,15321,11237
199312,1034,3884,639,166,820,5624,899,1511,333,950,2679,2408,0,1035,2949,7876,1680,2453,1093,11840,9628,5615
199313,934,3262,482,708,476,4772,802,559,92,634,1995,1398,0,693,2159,11818,587,811,1871,13293,11093,3475
199314,531,2779,145,683,227,5522,136,903,0,975,1376,1038,0,1131,1910,6650,563,1311,0,3968,2925,1954
199315,30,1450,155,0,172,7610,98,132,0,293,1075,385,0,1381,74,2874,873,323,1083,1922,1452,2410
199316,159,1610,0,112,0,8392,613,67,0,2812,2918,606,0,270,0,9261,514,516,0,1240,692,1305
199317,296,632,0,279,0,2328,116,0,0,40,1188,454,0,47,56,1742,0,465,0,178,489,801
199318,0,0,0,0,0,1959,0,0,0,23,231,579,0,433,186,0,0,452,95,0,1219,520
199319,118,99,83,0,0,1722,0,0,0,33,0,177,0,304,149,0,205,0,323,170,1056,184
199320,0,60,304,0,0,2402,0,935,-,317,0,15,0,186,0,0,32,0,299,319,911,92
199321,0,0,0,441,0,1929,0,218,-,57,80,181,0,163,114,0,0,0,346,403,1560,56
199322,0,0,0,0,0,466,0,256,-,0,36,101,0,52,0,0,0,362,62,0,1472,1047
199323,0,0,0,0,0,1038,0,289,-,106,0,163,0,0,0,2318,0,222,261,152,2059,1409
199324,317,0,0,0,0,2836,0,289,0,0,0,0,0,0,0,1686,0,127,287,563,1332,120
199325,632,0,0,0,93,1826,0,124,0,0,677,0,0,0,56,508,0,0,132,968,2078,639
199326,374,0,0,0,175,630,89,0,-,0,975,0,0,0,106,0,0,0,0,93,190,663
199327,151,0,0,0,0,478,18,0,-,38,298,0,0,0,96,0,177,0,0,509,310,0
199328,582,0,0,0,0,502,0,0,-,17,20,0,0,0,378,0,35,0,0,0,234,0
199329,534,111,0,0,0,384,0,401,-,0,0,87,0,29,830,0,477,0,0,210,439,0
199330,169,169,0,189,0,645,0,0,-,0,0,214,-,231,341,0,474,0,88,306,325,0
199331,136,0,0,0,0,172,0,0,121,33,0,308,0,170,0,0,484,0,29,724,681,707
199332,268,0,0,0,0,183,0,0,60,10,528,0,0,33,0,443,457,0,0,235,553,473
199333,106,221,0,0,0,0,0,32,0,0,585,264,0,0,0,364,0,264,0,0,2032,0
199334,0,524,0,73,56,0,0,227,0,0,989,399,0,0,33,0,0,688,0,352,22,0
199335,0,40,0,589,58,51,0,194,0,96,568,438,0,38,112,0,0,511,0,672,1360,228
199336,55,276,0,34,21,18,0,57,0,58,0,0,0,244,0,0,120,256,0,562,1547,399
199337,181,93,32,0,74,17,133,19,0,21,78,206,0,86,161,849,223,847,0,0,1676,2238
199338,88,424,126,36,126,425,481,0,12,486,27,216,100,247,443,1336,453,451,0,249,1522,1562
199339,742,737,257,152,0,352,1945,102,56,214,97,484,50,228,592,477,544,961,126,750,2765,1920
199340,1321,473,52,250,613,480,1529,217,76,326,263,417,0,453,286,124,364,731,191,816,1739,1668
199341,1202,365,201,199,554,709,780,227,80,130,765,568,0,386,637,624,457,1116,756,640,4570,1256
199342,693,1002,564,207,537,1283,456,227,97,547,1557,582,0,321,826,909,651,1365,301,1117,4308,1187
199343,660,781,253,421,71,1748,702,0,0,138,2273,1151,0,308,255,370,1216,750,258,515,2091,1022
199344,745,629,52,128,494,2341,685,191,76,124,654,1772,0,533,71,1081,814,1137,113,1278,3007,1653
199345,824,1414,332,244,98,5902,1613,378,51,213,1348,3027,0,633,772,4997,1165,1451,161,1636,5639,2273
199346,1150,2422,531,2298,409,18541,2229,390,32,358,2738,5992,0,1148,5218,7301,4529,1786,1142,2952,7465,8385
199347,4102,12522,2302,8567,3174,43110,17547,3879,73,1595,4490,14411,1028,2520,16513,25244,12718,4080,4188,7377,21573,22835
199348,5307,30697,4889,20768,12475,74540,19263,9205,193,5527,13803,19374,3721,9814,30964,35435,30700,11165,11741,34754,72586,54589
199349,12098,63866,14017,12666,32582,72814,43610,12669,1363,14533,26027,16415,12521,36872,52028,49801,58351,26045,22497,69896,117698,113429
199350,13531,40982,10222,7509,37848,26911,33617,11728,1164,18956,14968,11955,8479,24574,29428,37879,42508,22004,15003,59424,83683,79027
199351,14021,21575,9986,4795,15786,11730,18733,8903,1725,14726,6784,4707,4435,12007,20833,28532,12659,15556,7622,49974,42551,41787
199352,8126,9781,3775,2135,6046,7899,9804,3870,2415,3625,3837,2536,4441,5603,13005,10740,7352,26181,8584,30514,20590,22514
199401,2791,6555,1784,1292,4374,3414,4221,2002,1930,3440,1916,2710,2450,2642,5128,3471,3115,9627,1986,14318,13221,22375
199402,2552,2904,829,188,468,894,906,242,1355,1604,924,2096,599,642,1336,646,1453,4548,864,10307,5971,3246
199403,1399,1016,201,51,377,835,486,406,854,802,427,623,298,584,708,2195,365,3397,388,7004,5345,1464
199404,741,733,132,0,408,703,791,133,227,955,73,109,139,833,879,290,444,1954,137,9123,4410,1455
199405,716,963,49,0,867,268,136,440,138,428,10,106,80,202,406,1240,1209,1285,267,4564,3685,637
199406,864,1525,194,192,407,316,46,378,80,336,767,344,179,440,190,996,1330,848,474,2603,2924,500
199407,326,589,301,72,310,788,1260,120,34,197,705,449,464,388,122,257,76,2078,301,236,3010,4110
199408,0,0,219,137,348,392,59,276,0,189,0,158,344,1001,25,203,1685,576,110,503,1426,1221
199409,0,0,583,0,211,279,0,0,0,11,223,192,417,38,127,0,44,140,0,256,907,988
199410,175,0,150,0,179,896,126,0,0,21,111,0,198,31,91,407,44,34,87,154,663,600
199411,340,305,0,268,96,340,171,630,0,21,0,0,134,52,113,0,215,139,64,1220,739,163
199412,195,363,0,0,223,112,0,1202,0,0,0,0,146,0,434,0,232,464,0,1787,414,153
199413,0,282,0,0,380,0,0,486,0,0,78,331,35,0,434,0,0,287,52,932,258,85
199414,112,53,45,0,59,177,137,333,0,0,242,356,142,182,19,0,0,361,87,345,904,955
199415,78,221,52,156,185,598,162,139,0,0,316,574,15,211,142,0,380,259,17,142,2532,1348
199416,30,425,0,16,130,573,62,589,0,0,50,420,108,54,0,0,265,98,108,470,115,934
199417,0,0,0,0,102,166,75,0,0,0,0,133,15,262,0,0,142,117,43,86,75,451
199418,124,730,0,0,43,0,0,0,0,0,0,470,0,0,0,0,412,462,0,956,757,178
199419,23,388,0,0,97,0,0,0,0,164,0,322,20,0,0,0,291,184,0,0,164,0
199420,0,176,0,0,86,482,0,0,0,68,0,0,216,0,0,0,37,307,0,341,187,142
199421,0,222,0,0,0,205,0,0,0,0,0,125,216,0,0,0,0,209,0,0,847,514
199422,0,0,0,0,0,0,0,0,-,0,0,341,0,0,0,0,0,0,-,0,105,703
199423,0,1172,-,0,620,0,0,0,-,55,-,0,557,0,0,-,0,0,0,0,538,0
199424,0,75,0,0,323,0,0,0,0,77,527,762,159,0,0,0,434,1352,0,0,1392,48
199425,632,0,0,0,0,39,0,0,0,120,81,335,0,0,303,0,1256,391,0,143,820,226
199426,95,0,0,0,111,27,0,0,0,0,25,0,0,0,0,0,0,0,0,133,477,0
199427,0,0,0,15,0,86,0,0,0,78,351,0,0,0,0,0,0,88,0,0,178,0
199428,0,0,0,110,0,126,0,0,0,111,0,0,973,0,0,0,0,88,0,0,156,0
199429,0,0,0,37,0,0,0,0,0,96,0,0,486,108,0,0,0,0,110,0,25,0
199430,0,0,0,242,0,0,0,0,0,34,152,0,348,140,0,0,0,0,56,0,0,82
199431,0,0,0,0,0,0,420,0,0,0,108,250,835,115,0,0,462,0,0,0,0,159
199432,0,0,0,0,0,34,147,0,0,0,27,208,432,0,0,0,574,0,0,0,2423,390
199433,0,0,0,0,0,199,34,0,0,37,0,414,432,0,328,0,552,0,0,0,0,241
199434,0,0,0,87,0,81,0,0,0,32,279,569,0,0,0,0,510,0,0,0,808,0
199435,84,0,0,623,0,81,0,0,0,23,303,349,0,381,0,0,158,123,301,174,435,115
199436,135,272,0,0,0,58,60,0,0,19,108,88,0,378,0,0,0,269,0,391,398,250
199437,120,325,0,103,81,74,220,57,0,176,12,0,0,331,22,0,549,424,334,571,1275,262
199438,423,745,0,247,192,471,551,212,0,63,497,77,0,0,50,1528,997,484,173,1991,2680,825
199439,696,267,0,90,469,296,402,0,0,0,599,499,0,189,0,2597,1122,0,234,2054,5780,530
199440,902,53,0,244,99,245,365,0,0,63,462,728,0,1023,0,2791,356,1790,0,719,2550,951
199441,631,122,0,468,176,434,162,0,-,52,307,935,0,603,406,1875,712,571,288,423,2252,895
199442,805,110,0,41,135,1156,963,0,0,0,690,688,278,65,1258,103,975,984,943,443,2422,598
199443,1041,113,0,120,347,333,368,0,0,0,1134,256,256,210,408,0,2006,1086,80,986,838,663
199444,1177,26,26,0,386,137,441,0,0,143,310,314,544,380,257,2572,631,707,0,1236,546,576
199445,691,589,172,120,279,618,762,0,0,71,1144,523,230,0,490,2626,1078,223,0,648,1401,250
199446,1075,1094,126,230,231,301,1318,177,0,0,0,480,84,309,223,1692,287,239,359,239,3591,1312
199447,931,700,215,327,238,1527,1086,167,0,0,49,362,152,357,96,515,1010,482,447,1346,3682,655
199448,666,688,538,97,538,1026,148,427,0,150,232,803,203,485,47,974,982,684,901,1136,4655,1159
199449,872,721,282,352,561,893,598,243,0,79,194,570,387,346,194,3375,1543,1064,35,559,6167,1096
199450,1366,569,951,41,449,1632,798,183,0,428,254,1366,59,583,310,4315,975,2547,539,2129,5327,1912
199451,1652,367,627,0,1662,1178,173,100,0,459,379,284,201,295,679,2493,1973,2776,1530,1887,5643,1552
199452,974,564,538,0,1042,2103,609,234,906,384,462,327,45,47,1351,0,1578,920,334,2809,5627,1474
199501,950,1108,78,629,633,1074,220,343,0,300,45,1479,305,432,1862,0,3570,1711,558,2651,4104,2030
199502,963,847,592,669,602,539,790,133,-,322,1109,867,943,247,1259,499,1093,616,889,1924,4533,3213
199503,533,433,332,331,606,2800,1226,393,139,440,576,939,0,325,1178,1893,1395,581,326,2021,5263,1756
199504,474,778,288,116,882,1085,629,485,77,373,190,1162,515,602,949,3214,1387,192,959,2917,6600,2541
199505,1675,348,0,97,1890,1025,768,472,0,276,179,500,366,712,195,1095,1455,807,196,4374,5829,2125
199506,1734,593,180,98,1344,2071,875,591,50,456,246,854,1027,1335,669,605,1718,1820,533,7146,7785,2263
199507,1534,139,0,372,573,1179,826,448,255,594,306,596,1082,637,33,3348,163,1596,308,3434,8727,1959
199508,2036,460,234,224,765,1743,1151,469,275,715,1052,1298,750,596,230,3466,1046,1474,925,8621,7363,2645
199509,0,889,594,44,1051,286,208,977,375,1649,1805,1306,507,210,422,4787,2390,1901,332,8986,8531,4851
199510,3956,1863,307,484,1087,1993,947,864,403,946,1688,1622,231,1380,631,2014,3697,2528,100,1722,11140,6505
199511,3720,2156,959,610,274,3900,474,666,301,1113,1282,6118,271,3283,2752,6236,1725,3262,0,6999,11860,15793
199512,3703,2964,1870,498,661,2898,1152,981,106,1486,2681,6952,920,2989,2869,7606,8173,4714,83,10310,17737,26224
199513,3339,5663,4325,1691,5651,14693,3557,2682,364,4621,4786,10516,4072,7376,4088,12847,13057,6985,977,18878,27743,32919
199514,7130,5858,5804,2857,7722,15425,5707,2326,1005,8124,12198,8658,4727,8768,12028,11523,11823,11755,3236,19510,38604,29675
199515,8578,2926,1502,2370,7123,10897,8600,3211,424,4026,7815,5251,4209,4518,11002,8165,5458,6385,3995,15203,27443,17947
199516,4340,2166,4150,1678,6479,13005,11386,1234,324,3178,4271,4568,4235,1838,3092,7977,8515,4726,3279,13511,17987,10267
199517,3339,1785,1850,263,2843,3662,3663,1101,424,567,6505,3119,1707,2440,3052,4422,4795,4834,2941,9168,13946,5580
199518,1345,765,646,430,2018,2828,354,910,259,301,3360,1296,354,636,1453,0,4700,1669,1748,3952,4548,1982
199519,764,589,150,195,309,2527,567,391,46,631,721,1105,0,223,1753,0,3611,1362,685,2228,3059,2104
199520,223,279,0,443,0,3396,576,538,324,303,534,331,0,645,547,1555,2131,659,347,660,2283,1051
199521,144,1430,0,0,371,1849,511,598,0,150,310,471,0,210,1296,78,1408,234,243,484,1643,199
199522,30,659,0,134,331,1456,288,512,0,84,64,436,0,154,2217,2155,1874,200,211,0,1194,382
199523,554,202,192,167,494,1963,600,0,0,39,0,218,117,379,1600,1503,1711,241,0,688,1166,336
199524,637,121,67,78,83,2034,390,247,0,44,0,117,19,0,203,214,717,185,0,147,2076,0
199525,41,0,0,0,47,1090,84,94,-,112,0,264,0,0,0,0,579,225,0,2319,807,0
199526,102,0,0,239,378,1269,146,30,-,67,0,219,0,0,0,0,898,95,301,116,596,0
199527,602,0,0,0,330,200,175,0,-,154,0,0,39,122,0,0,1041,0,0,1794,883,0
199528,598,0,0,0,181,64,294,0,-,293,0,0,271,0,0,0,844,0,0,256,446,0
199529,171,0,360,0,290,0,0,0,-,112,0,0,0,146,100,0,246,0,0,141,22,0
199530,0,0,0,0,459,0,0,0,-,163,0,0,194,371,0,0,0,0,0,271,141,0
199531,0,0,0,0,0,0,0,0,-,395,0,0,247,122,0,0,1424,0,0,0,0,0
199532,0,0,0,0,0,225,0,0,-,0,0,0,102,0,0,0,136,0,0,0,0,0
199533,0,0,0,0,0,293,0,526,-,0,0,0,0,0,0,0,0,0,0,0,110,0
199534,0,0,0,0,116,152,280,132,-,0,0,0,380,0,112,0,0,0,0,0,126,0
199535,0,0,0,0,157,57,140,0,-,0,0,0,136,0,266,0,0,0,0,255,619,436
199536,0,0,0,0,69,0,240,0,-,9,0,156,0,0,0,0,0,0,0,1066,2704,499
199537,192,0,157,0,0,32,170,0,-,485,0,236,0,0,82,0,0,0,0,339,2434,303
199538,394,392,0,0,745,250,422,0,-,174,0,526,0,293,65,2251,1126,71,100,983,3268,2118
199539,878,236,0,0,663,1451,668,0,-,94,208,838,0,917,1244,1155,1104,157,150,644,3487,2215
199540,735,377,480,102,697,1273,62,0,-,98,73,705,0,204,736,2243,1077,404,134,520,5154,1143
199541,564,769,210,0,631,676,889,170,0,160,60,377,0,113,0,1047,1993,210,888,1009,1896,1035
199542,638,2374,100,86,498,1100,3088,477,0,169,112,533,0,176,152,0,998,792,0,362,1942,1590
199543,1390,378,184,451,550,970,118,830,-,285,0,533,0,343,424,0,1222,1319,0,0,3899,4606
199544,371,133,330,101,307,1189,959,572,-,378,0,350,0,972,271,0,301,937,0,21,2570,3193
199545,660,666,390,238,1147,1266,2086,955,0,0,218,641,45,472,276,643,1868,855,0,1383,7101,5944
199546,1031,2152,522,319,2970,1877,4624,796,76,314,1233,571,907,562,1678,2617,3699,1346,1249,2287,8774,17801
199547,798,3316,347,695,3130,5793,7411,2794,177,1804,1532,836,960,1293,3465,6552,10552,2063,1686,6201,10614,37885
199548,3779,5450,2619,1568,7015,11383,10648,2885,50,5288,2737,3607,1538,1666,3704,11674,12124,4486,2921,20150,23319,48392
199549,6320,11655,2755,4799,16866,24113,14701,6599,201,8512,11979,7734,4159,6357,4469,27896,31736,12432,6629,53822,53078,47237
199550,13224,16222,8805,11802,26904,74275,30938,12067,1949,13311,22318,11240,6453,19775,9725,71804,53289,18791,10571,59517,56246,53862
199551,15942,24769,15928,18784,28430,144968,29559,8756,2047,15638,16681,21609,16939,50206,25522,63465,64479,28730,17384,56934,54489,43662
199552,10122,30124,11379,9018,9708,49786,10725,5578,-,7083,11586,21456,10732,23640,32551,28029,15728,9591,8516,37992,26272,19018
199601,9383,18268,4014,3461,4470,20010,4989,3456,2666,2971,6308,10907,3991,7354,17712,24389,19577,8541,4370,12321,21969,8391
199602,6112,9897,2307,1955,2165,6462,1091,1696,635,2742,1723,4793,1545,2225,6492,10047,7159,4421,1850,6744,12288,4174
199603,2806,6551,681,660,1020,1532,1308,2591,285,1291,598,1967,1506,1283,2984,2983,2006,1857,491,2323,7682,3435
199604,3939,5452,420,416,737,1336,912,2249,231,1008,573,1441,1077,523,3082,3017,1731,1477,321,2263,5539,1735
199605,1404,2532,293,169,126,1492,658,211,-,605,280,1567,313,845,971,2203,1370,767,0,1250,4482,2267
199606,242,2545,368,151,725,1184,3746,793,-,224,217,622,0,1508,928,2830,1558,967,453,387,4189,1296
199607,628,270,49,127,732,924,1282,864,-,174,253,1094,347,1545,1338,2521,2822,1467,151,961,4834,1951
199608,647,808,0,14,523,126,390,123,0,60,423,353,347,712,1989,0,1125,939,293,2130,5603,2141
199609,0,1692,0,112,223,320,389,286,0,18,890,601,0,113,3269,0,76,1185,325,1313,5040,3309
199610,1272,68,0,99,214,204,0,253,0,146,431,932,1437,0,184,1053,998,681,485,709,6240,5381
199611,765,611,24,134,16,362,213,227,-,781,174,120,1498,933,142,3669,1856,1288,285,415,5758,4185
199612,420,68,299,252,237,452,909,524,-,1121,269,181,1505,1165,213,7153,4447,603,125,148,5136,2802
199613,978,1124,342,253,390,456,2607,1160,0,923,131,210,2165,560,85,3696,1768,1531,183,753,5375,1884
199614,773,489,88,789,252,1833,11129,803,0,833,498,976,1270,863,165,9017,4140,2154,655,1116,7889,3393
199615,731,801,354,393,434,3055,11283,403,-,175,595,865,745,1360,263,7057,5071,1501,617,2637,4967,2834
199616,801,257,2829,607,1050,1857,1299,788,-,308,151,373,997,331,0,596,3524,877,0,1148,6027,3483
199617,93,505,1188,370,1086,811,1971,793,-,33,102,521,951,366,410,7704,1523,1411,0,412,2505,2658
199618,105,482,283,177,753,562,600,579,-,0,0,724,686,492,2455,4526,1255,875,0,464,1521,1335
199619,526,599,71,101,307,370,208,529,-,342,520,826,455,122,245,1895,209,240,528,1785,817,283
199620,207,873,95,152,253,498,0,780,-,0,0,242,296,0,829,340,826,830,226,1110,1233,536
199621,53,333,177,247,125,733,271,350,-,0,0,0,28,192,743,679,62,337,0,662,469,382
199622,0,598,0,114,21,489,0,227,-,388,0,0,0,252,401,0,69,0,0,436,883,271
199623,0,0,0,0,125,442,0,0,-,77,0,0,0,24,0,0,156,147,0,692,274,348
199624,0,38,0,85,133,749,0,0,-,0,60,0,0,191,0,0,0,92,0,216,440,69
199625,0,156,0,114,27,402,0,121,-,0,80,0,0,478,0,0,0,184,0,268,221,0
199626,0,50,0,0,0,93,0,272,-,0,0,0,284,0,0,0,327,158,0,149,830,69
199627,0,0,0,54,0,42,0,116,-,0,0,0,122,305,0,1434,0,180,0,161,1578,158
199628,0,0,0,261,0,0,0,0,-,0,0,0,0,0,0,582,1399,169,130,57,1565,72
199629,0,151,0,0,0,66,0,116,-,0,0,0,0,0,0,0,0,113,38,290,951,0
199630,183,195,0,50,0,96,247,125,-,0,0,0,77,0,0,248,0,0,0,519,0,453
199631,231,0,0,257,0,125,0,0,-,0,0,222,222,349,0,442,401,184,0,0,0,104
199632,0,0,0,260,0,55,0,0,-,0,0,0,196,0,0,0,200,378,0,0,0,0
199633,0,0,0,0,0,76,0,0,-,0,0,0,238,0,0,0,0,0,0,0,0,75
199634,139,0,127,0,0,220,0,0,-,14,0,0,95,0,0,0,0,0,0,0,0,316
199635,104,0,51,0,0,0,0,0,-,33,0,0,95,121,0,0,0,0,0,0,620,44
199636,0,289,0,0,0,0,0,0,-,0,0,100,0,35,0,0,0,0,0,0,265,283
199637,153,124,147,0,30,84,0,28,-,0,104,226,0,0,0,1080,0,199,0,346,374,204
199638,307,250,737,0,228,249,71,183,-,0,154,35,0,61,0,3015,355,1427,45,299,1591,1096
199639,0,106,313,0,233,225,383,28,-,0,235,216,0,150,0,851,991,510,106,648,1518,1595
199640,95,291,0,0,263,145,522,0,-,0,555,138,0,348,151,2821,156,1143,132,399,1659,1474
199641,41,62,0,0,80,357,294,177,-,213,183,651,0,110,450,824,0,957,19,439,2829,2055
199642,379,374,0,507,0,617,286,258,-,40,312,514,95,111,205,0,35,1155,0,995,2969,3353
199643,251,68,35,46,0,700,732,76,-,0,205,656,189,303,0,0,186,1012,0,784,4156,3277
199644,263,431,142,79,0,404,99,145,-,22,144,171,470,190,183,0,239,107,0,1918,2638,3512
199645,1012,477,253,372,50,745,1665,178,-,600,1086,1240,68,477,887,638,903,1364,435,2443,6144,3899
199646,1558,135,337,224,331,1554,1303,430,-,483,213,2507,338,725,652,2268,687,1196,337,1946,8840,5334
199647,2032,1565,867,280,1022,1467,752,140,123,428,610,4496,763,1271,1981,2381,1573,1779,499,1526,25124,14050
199648,2464,6282,4622,724,7778,1570,2523,1206,185,4765,1711,10572,3279,1304,5851,4154,2023,4495,1854,5405,56859,50679
199649,3986,12137,7289,2015,14629,3584,8975,6206,243,7316,6684,19070,10800,7720,23346,11192,3533,8282,9426,20113,90337,93648
199650,9623,17309,11631,6054,16220,6017,11049,15659,633,12498,14184,27410,14318,18162,29009,17202,9608,21443,12647,27337,110530,103601
199651,13522,28325,8820,9056,24799,14884,15804,16643,1593,14682,16541,26963,13878,31562,24656,29645,25153,31772,9606,44142,131671,94320
199652,12060,18238,3911,12179,14900,26315,9287,10595,1612,5714,11159,19367,5070,21687,14218,14190,18222,21796,5813,40301,58934,43630
199701,11644,11911,2629,9162,7761,18608,16112,12432,1400,4415,6904,14295,4630,16586,8347,15482,24850,20030,4360,21989,38652,25237
199702,10121,10557,1603,3918,6370,21145,12772,4411,367,3765,6194,3294,1661,10748,6277,15685,21273,10558,3237,16547,27926,12655
199703,5052,5150,525,2777,2521,18659,3735,2821,366,1325,3660,5068,1494,6837,41549,13786,10885,7070,2297,10871,18382,6034
199704,1897,3720,253,773,1738,19777,2376,1407,-,476,4558,3963,1083,3253,1574,9210,9464,3296,552,6749,7552,10168
199705,1048,3675,556,960,1772,30308,1563,893,-,370,2356,2012,1059,2638,11778,6812,9248,2189,102,5782,7941,7710
199706,1853,2231,202,3044,674,17632,1947,1166,-,39,730,1177,1212,2812,4317,5172,6939,1896,925,5240,4411,11818
199707,1180,1713,0,2071,918,15603,2758,182,-,349,1121,1191,1149,1263,343,5360,8950,1274,895,5778,5439,9382
199708,8996,1539,202,1440,330,5259,526,266,-,460,3624,1224,264,2311,372,685,6705,295,1287,1933,7081,12856
199709,1165,828,567,750,256,1828,53,23,-,108,782,1561,958,2493,177,255,3077,738,795,2036,4871,3502
199710,378,151,106,311,293,2006,0,98,-,0,385,2137,1802,522,0,0,646,774,244,1871,2600,5486
199711,437,181,0,145,0,1200,0,1122,-,29,356,3318,311,409,0,399,2195,916,325,2584,2413,4065
199712,239,1051,0,66,34,397,345,664,-,66,219,623,901,897,103,79,384,128,71,1811,3010,2317
199713,0,1080,0,14,85,730,0,129,-,68,33,131,1315,494,25,1113,876,596,505,3028,1897,1973
199714,0,605,0,75,294,1174,0,16,-,88,0,936,829,959,0,560,2466,452,0,1335,1326,2116
199715,228,402,0,0,116,801,0,98,-,0,0,1019,215,1254,523,0,0,221,0,922,975,1117
199716,87,27,0,0,190,108,413,0,-,354,0,0,2718,209,224,384,0,263,0,2827,0,929
199717,282,1025,0,0,317,460,120,271,-,19,0,808,1510,251,0,744,0,426,0,1717,1122,2434
199718,232,0,0,0,18,194,0,321,-,0,40,507,0,0,0,106,0,81,0,1164,231,1558
199719,390,742,0,0,115,123,0,0,-,0,124,555,172,0,0,0,0,215,0,0,1255,454
199720,188,0,0,0,164,36,0,0,-,15,0,85,483,0,0,0,241,276,15,0,652,319
199721,0,0,0,0,61,0,0,0,-,51,0,0,366,204,0,0,80,187,106,0,1098,114
199722,0,0,0,0,0,0,0,224,-,0,0,0,0,0,0,0,0,239,30,0,1651,78
199723,148,309,206,11,0,8,0,247,-,0,0,0,0,145,2580,0,0,696,0,0,1441,0
199724,0,690,236,79,0,61,0,73,-,0,0,0,0,29,2933,0,0,0,0,172,120,310
199725,0,596,0,68,0,0,0,0,-,0,0,185,334,132,0,1962,0,0,0,234,113,182
199726,0,434,59,0,0,259,578,294,-,11,0,108,787,212,0,0,276,0,0,0,799,35
199727,0,0,138,28,0,390,963,0,-,39,0,0,667,437,0,0,322,0,0,0,87,0
199728,0,0,0,493,119,27,0,0,-,0,171,0,151,0,0,0,287,0,31,0,0,0
199729,0,0,0,0,122,0,0,0,-,0,53,211,0,0,0,0,153,0,323,259,251,0
199730,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,776,626,0
199731,0,0,0,0,0,0,0,0,-,0,0,0,117,0,0,0,0,0,0,0,447,388
199732,0,832,0,0,0,0,0,0,-,0,0,0,184,0,0,0,0,0,0,0,0,248
199733,0,0,0,30,0,311,0,0,-,0,0,0,57,0,0,0,0,0,0,724,0,0
199734,0,0,0,66,0,96,0,0,-,0,0,0,396,0,0,0,0,0,0,1035,0,250
199735,0,188,106,11,0,0,0,0,-,0,0,52,0,0,0,0,0,0,0,91,0,650
199736,329,417,307,0,0,212,40,0,-,0,0,917,0,0,0,0,0,0,67,224,2305,490
199737,208,0,118,0,0,159,138,0,-,0,0,364,0,0,0,0,67,164,108,182,974,1095
199738,104,0,0,0,0,0,0,0,-,44,0,215,0,0,0,0,389,118,0,522,1456,354
199739,437,186,0,0,106,1072,2271,0,-,33,0,123,0,0,0,1178,248,0,0,202,3968,0
